time,exchange,ticker,bid,ask,bidsize,asksize
2019-09-16 14:55:04.240,TrueFX,EUR/USD,1.09969,1.09971,100,100
2019-09-16 14:55:03.259,TrueFX,USD/JPY,107.98,107.984,100,100
2019-09-16 14:55:05.229,TrueFX,GBP/USD,1.24002,1.24015,100,100
2019-09-16 14:55:04.240,TrueFX,EUR/GBP,0.88678,0.88684,100,100
2019-09-16 14:55:04.294,TrueFX,USD/CHF,0.99299,0.99303,100,100
2019-09-16 14:55:03.797,TrueFX,EUR/JPY,118.748,118.752,100,100
2019-09-16 14:55:05.197,TrueFX,EUR/CHF,1.09197,1.09204,100,100
2019-09-16 14:55:04.470,TrueFX,USD/CAD,1.32695,1.32699,100,100
2019-09-16 14:55:03.675,TrueFX,AUD/USD,0.68542,0.68543,100,100
2019-09-16 14:55:04.528,TrueFX,GBP/JPY,133.903,133.914,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:08.062,TrueFX,EUR/USD,1.09956,1.09959,100,100
2019-09-16 14:55:07.873,TrueFX,USD/JPY,107.984,107.987,100,100
2019-09-16 14:55:07.948,TrueFX,GBP/USD,1.23998,1.24012,100,100
2019-09-16 14:55:07.819,TrueFX,EUR/GBP,0.8867,0.88676,100,100
2019-09-16 14:55:07.226,TrueFX,USD/CHF,0.99304,0.99308,100,100
2019-09-16 14:55:07.410,TrueFX,EUR/JPY,118.737,118.74,100,100
2019-09-16 14:55:08.060,TrueFX,EUR/CHF,1.09192,1.09198,100,100
2019-09-16 14:55:07.524,TrueFX,USD/CAD,1.32695,1.32699,100,100
2019-09-16 14:55:07.282,TrueFX,AUD/USD,0.6854,0.68543,100,100
2019-09-16 14:55:08.047,TrueFX,GBP/JPY,133.905,133.916,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:09.700,TrueFX,EUR/USD,1.09949,1.09953,100,100
2019-09-16 14:55:10.504,TrueFX,USD/JPY,107.986,107.991,100,100
2019-09-16 14:55:09.487,TrueFX,GBP/USD,1.23998,1.24009,100,100
2019-09-16 14:55:09.878,TrueFX,EUR/GBP,0.88666,0.88672,100,100
2019-09-16 14:55:10.165,TrueFX,USD/CHF,0.99304,0.9931,100,100
2019-09-16 14:55:10.507,TrueFX,EUR/JPY,118.733,118.738,100,100
2019-09-16 14:55:09.485,TrueFX,EUR/CHF,1.09186,1.09193,100,100
2019-09-16 14:55:07.524,TrueFX,USD/CAD,1.32695,1.32699,100,100
2019-09-16 14:55:09.522,TrueFX,AUD/USD,0.6854,0.68543,100,100
2019-09-16 14:55:10.513,TrueFX,GBP/JPY,133.906,133.918,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:12.860,TrueFX,EUR/USD,1.09959,1.09963,100,100
2019-09-16 14:55:11.501,TrueFX,USD/JPY,107.986,107.99,100,100
2019-09-16 14:55:13.513,TrueFX,GBP/USD,1.24005,1.24016,100,100
2019-09-16 14:55:12.949,TrueFX,EUR/GBP,0.88668,0.88676,100,100
2019-09-16 14:55:13.431,TrueFX,USD/CHF,0.99297,0.99301,100,100
2019-09-16 14:55:12.931,TrueFX,EUR/JPY,118.742,118.747,100,100
2019-09-16 14:55:13.420,TrueFX,EUR/CHF,1.0919,1.09194,100,100
2019-09-16 14:55:12.216,TrueFX,USD/CAD,1.32694,1.32696,100,100
2019-09-16 14:55:12.165,TrueFX,AUD/USD,0.68547,0.6855,100,100
2019-09-16 14:55:13.214,TrueFX,GBP/JPY,133.912,133.924,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:16.402,TrueFX,EUR/USD,1.09959,1.09961,100,100
2019-09-16 14:55:16.108,TrueFX,USD/JPY,107.986,107.99,100,100
2019-09-16 14:55:16.452,TrueFX,GBP/USD,1.24005,1.24016,100,100
2019-09-16 14:55:16.469,TrueFX,EUR/GBP,0.88668,0.88674,100,100
2019-09-16 14:55:16.381,TrueFX,USD/CHF,0.99302,0.99305,100,100
2019-09-16 14:55:16.451,TrueFX,EUR/JPY,118.742,118.746,100,100
2019-09-16 14:55:16.451,TrueFX,EUR/CHF,1.09193,1.09197,100,100
2019-09-16 14:55:16.036,TrueFX,USD/CAD,1.32692,1.32696,100,100
2019-09-16 14:55:15.121,TrueFX,AUD/USD,0.68549,0.68551,100,100
2019-09-16 14:55:16.225,TrueFX,GBP/JPY,133.911,133.921,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:19.119,TrueFX,EUR/USD,1.09966,1.09967,100,100
2019-09-16 14:55:16.108,TrueFX,USD/JPY,107.986,107.99,100,100
2019-09-16 14:55:18.777,TrueFX,GBP/USD,1.24018,1.24025,100,100
2019-09-16 14:55:18.962,TrueFX,EUR/GBP,0.88666,0.88671,100,100
2019-09-16 14:55:18.532,TrueFX,USD/CHF,0.993,0.99307,100,100
2019-09-16 14:55:19.283,TrueFX,EUR/JPY,118.75,118.752,100,100
2019-09-16 14:55:18.545,TrueFX,EUR/CHF,1.09199,1.09204,100,100
2019-09-16 14:55:17.441,TrueFX,USD/CAD,1.32686,1.32689,100,100
2019-09-16 14:55:18.951,TrueFX,AUD/USD,0.6855,0.68555,100,100
2019-09-16 14:55:18.777,TrueFX,GBP/JPY,133.923,133.932,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:21.057,TrueFX,EUR/USD,1.09962,1.09964,100,100
2019-09-16 14:55:21.504,TrueFX,USD/JPY,107.986,107.99,100,100
2019-09-16 14:55:22.093,TrueFX,GBP/USD,1.24025,1.2403,100,100
2019-09-16 14:55:22.053,TrueFX,EUR/GBP,0.88661,0.88666,100,100
2019-09-16 14:55:20.372,TrueFX,USD/CHF,0.99302,0.99308,100,100
2019-09-16 14:55:21.125,TrueFX,EUR/JPY,118.746,118.75,100,100
2019-09-16 14:55:20.683,TrueFX,EUR/CHF,1.09196,1.09201,100,100
2019-09-16 14:55:21.472,TrueFX,USD/CAD,1.32686,1.32689,100,100
2019-09-16 14:55:21.568,TrueFX,AUD/USD,0.6855,0.68555,100,100
2019-09-16 14:55:22.064,TrueFX,GBP/JPY,133.931,133.934,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:24.625,TrueFX,EUR/USD,1.09966,1.09967,100,100
2019-09-16 14:55:24.780,TrueFX,USD/JPY,107.992,107.994,100,100
2019-09-16 14:55:24.828,TrueFX,GBP/USD,1.24036,1.24043,100,100
2019-09-16 14:55:24.799,TrueFX,EUR/GBP,0.88653,0.88657,100,100
2019-09-16 14:55:24.456,TrueFX,USD/CHF,0.99304,0.9931,100,100
2019-09-16 14:55:24.459,TrueFX,EUR/JPY,118.754,118.758,100,100
2019-09-16 14:55:24.474,TrueFX,EUR/CHF,1.09201,1.09207,100,100
2019-09-16 14:55:21.472,TrueFX,USD/CAD,1.32686,1.32689,100,100
2019-09-16 14:55:22.275,TrueFX,AUD/USD,0.6855,0.68555,100,100
2019-09-16 14:55:24.828,TrueFX,GBP/JPY,133.949,133.956,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:27.077,TrueFX,EUR/USD,1.09966,1.09968,100,100
2019-09-16 14:55:24.968,TrueFX,USD/JPY,107.989,107.993,100,100
2019-09-16 14:55:27.113,TrueFX,GBP/USD,1.24042,1.24049,100,100
2019-09-16 14:55:27.244,TrueFX,EUR/GBP,0.88649,0.88654,100,100
2019-09-16 14:55:25.908,TrueFX,USD/CHF,0.99309,0.99315,100,100
2019-09-16 14:55:27.075,TrueFX,EUR/JPY,118.753,118.755,100,100
2019-09-16 14:55:27.068,TrueFX,EUR/CHF,1.09207,1.09214,100,100
2019-09-16 14:55:26.685,TrueFX,USD/CAD,1.32685,1.32689,100,100
2019-09-16 14:55:27.077,TrueFX,AUD/USD,0.6855,0.68555,100,100
2019-09-16 14:55:27.268,TrueFX,GBP/JPY,133.953,133.962,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
2019-09-16 14:55:29.840,TrueFX,EUR/USD,1.0997,1.09973,100,100
2019-09-16 14:55:29.458,TrueFX,USD/JPY,107.99,107.993,100,100
2019-09-16 14:55:30.126,TrueFX,GBP/USD,1.24049,1.24056,100,100
2019-09-16 14:55:29.803,TrueFX,EUR/GBP,0.88646,0.88652,100,100
2019-09-16 14:55:29.360,TrueFX,USD/CHF,0.99302,0.99308,100,100
2019-09-16 14:55:29.803,TrueFX,EUR/JPY,118.757,118.763,100,100
2019-09-16 14:55:29.800,TrueFX,EUR/CHF,1.09203,1.0921,100,100
2019-09-16 14:55:28.535,TrueFX,USD/CAD,1.32678,1.3268,100,100
2019-09-16 14:55:28.849,TrueFX,AUD/USD,0.68559,0.68562,100,100
2019-09-16 14:55:30.125,TrueFX,GBP/JPY,133.961,133.97,100,100
2019-09-16 14:52:18.809,IEX,BLK,350.0,0.0,100,0
2019-09-16 14:53:28.004,IEX,IVV,280.8,0.0,100,0
