time,exchange,ticker,bid,ask,bidsize,asksize
2019-09-16 07:35:35.717,TrueFX,EUR/USD,1.10765,1.10768,100,100
2019-09-16 07:35:38.520,TrueFX,USD/JPY,107.847,107.85,100,100
2019-09-16 07:35:32.108,TrueFX,GBP/USD,1.24689,1.24694,100,100
2019-09-16 07:35:35.717,TrueFX,EUR/GBP,0.88832,0.88838,100,100
2019-09-16 07:35:36.251,TrueFX,USD/CHF,0.98911,0.98918,100,100
2019-09-16 07:35:38.525,TrueFX,EUR/JPY,119.457,119.461,100,100
2019-09-16 07:35:36.651,TrueFX,EUR/CHF,1.09562,1.09567,100,100
2019-09-16 07:35:35.700,TrueFX,USD/CAD,1.326,1.32608,100,100
2019-09-16 07:35:38.019,TrueFX,AUD/USD,0.68759,0.68765,100,100
2019-09-16 07:35:38.519,TrueFX,GBP/JPY,134.469,134.479,100,100
2019-09-16 07:35:40.065,TrueFX,EUR/USD,1.10767,1.10771,100,100
2019-09-16 07:35:40.530,TrueFX,USD/JPY,107.846,107.85,100,100
2019-09-16 07:35:41.154,TrueFX,GBP/USD,1.24699,1.24701,100,100
2019-09-16 07:35:39.911,TrueFX,EUR/GBP,0.88827,0.88833,100,100
2019-09-16 07:35:39.749,TrueFX,USD/CHF,0.98909,0.98917,100,100
2019-09-16 07:35:39.838,TrueFX,EUR/JPY,119.46,119.466,100,100
2019-09-16 07:35:40.491,TrueFX,EUR/CHF,1.09563,1.0957,100,100
2019-09-16 07:35:41.432,TrueFX,USD/CAD,1.326,1.32601,100,100
2019-09-16 07:35:39.812,TrueFX,AUD/USD,0.68762,0.68765,100,100
2019-09-16 07:35:41.432,TrueFX,GBP/JPY,134.481,134.491,100,100
2019-09-16 07:35:44.486,TrueFX,EUR/USD,1.10769,1.1077,100,100
2019-09-16 07:35:44.114,TrueFX,USD/JPY,107.847,107.85,100,100
2019-09-16 07:35:41.154,TrueFX,GBP/USD,1.24699,1.24701,100,100
2019-09-16 07:35:39.911,TrueFX,EUR/GBP,0.88827,0.88833,100,100
2019-09-16 07:35:43.137,TrueFX,USD/CHF,0.98911,0.98917,100,100
2019-09-16 07:35:44.114,TrueFX,EUR/JPY,119.46,119.466,100,100
2019-09-16 07:35:43.017,TrueFX,EUR/CHF,1.09566,1.0957,100,100
2019-09-16 07:35:44.322,TrueFX,USD/CAD,1.32597,1.32601,100,100
2019-09-16 07:35:42.275,TrueFX,AUD/USD,0.68766,0.6877,100,100
2019-09-16 07:35:44.111,TrueFX,GBP/JPY,134.481,134.49,100,100
2019-09-16 07:35:47.468,TrueFX,EUR/USD,1.10766,1.1077,100,100
2019-09-16 07:35:47.475,TrueFX,USD/JPY,107.843,107.848,100,100
2019-09-16 07:35:41.154,TrueFX,GBP/USD,1.24699,1.24701,100,100
2019-09-16 07:35:47.487,TrueFX,EUR/GBP,0.88826,0.8883,100,100
2019-09-16 07:35:47.345,TrueFX,USD/CHF,0.98912,0.9892,100,100
2019-09-16 07:35:47.465,TrueFX,EUR/JPY,119.454,119.46,100,100
2019-09-16 07:35:47.468,TrueFX,EUR/CHF,1.09563,1.09568,100,100
2019-09-16 07:35:46.872,TrueFX,USD/CAD,1.326,1.32601,100,100
2019-09-16 07:35:42.275,TrueFX,AUD/USD,0.68766,0.6877,100,100
2019-09-16 07:35:47.308,TrueFX,GBP/JPY,134.477,134.486,100,100
