trade_id,exchange,ticker,entryprice,exitprice,volume,entrytime,exittime
1,TrueFX,GBP/USD,1.23037,1.23035,1,2019-10-02 19:26:57.277,2019-10-02 19:27:18.762
2,TrueFX,GBP/USD,1.23037,1.23026,1,2019-10-02 19:26:57.277,2019-10-02 19:27:53.979
3,TrueFX,GBP/USD,1.23042,1.23026,1,2019-10-02 19:27:14.087,2019-10-02 19:27:53.979
4,TrueFX,GBP/USD,1.23043,1.23026,1,2019-10-02 19:27:18.762,2019-10-02 19:27:53.979
5,TrueFX,GBP/USD,1.23037,1.23026,1,2019-10-02 19:27:26.308,2019-10-02 19:27:53.979
6,TrueFX,GBP/USD,1.23042,1.23026,1,2019-10-02 19:27:31.564,2019-10-02 19:27:53.979
7,TrueFX,GBP/USD,1.23039,1.23026,1,2019-10-02 19:27:38.356,2019-10-02 19:27:53.979
8,TrueFX,GBP/USD,1.23037,1.23026,1,2019-10-02 19:27:44.289,2019-10-02 19:27:53.979
9,TrueFX,GBP/USD,1.23037,1.23026,1,2019-10-02 19:27:44.289,2019-10-02 19:27:53.979
10,TrueFX,GBP/USD,1.23036,1.23026,1,2019-10-02 19:27:53.979,2019-10-02 19:27:53.979
